word,translation,phonetic
drum,noun: 鼓，滚筒，汽包，转鼓，卷筒，鼓声，桶，筒，打鼓，圆筒,drʌm
inveighing,verb: 漫骂,
lament,noun: 慨叹，哀叹，感叹，悲鸣 verb: 悲叹，哀悼，惋惜，叹息,lә'ment
fairyland,noun: 仙境，乐园,'fєәrilænd
lobby,noun: 大堂，大厅，游说团体，游说团，游说集团，门厅，休息室，门廊 verb: 游说,'lɒbi
chunk,noun: 大块，块，区块,tʃʌŋk
disclaimer,noun: 免责声明，免责，声明,dis'kleimә
oecd,other: 经合组织,
cusp,noun: 风口浪尖，尖，尖端 adj: 尖头,kʌsp
glimmer,noun: 微光，一丝，一线，闪光点,'glimә
blight,noun: 枯病，疫病，枯萎病，枯，天灾，枯萎,blait
hawk,noun: 鹰，霍克，老鹰，鹰派，飞鹰，雕 verb: 贩卖，兜售,hɒ:k
abundance,noun: 丰度，富足，丰富，丰盈，丰，充裕，充足，富裕,ә'bʌndәns
tangerine,noun: 蜜桔，橘，橘子，柑橘，桔，柑，橘色,.tændʒә'ri:n
mutton,noun: 羊肉，牛羊肉，羊，肉羊,'mʌtn
sombre,noun: 暗淡，严峻，阴郁，阴沉 adj: 沉郁,'sɔmbә(r)
stabilised,adj: 安定,
potent,adj: 有力，强效，烈性，强有力，强力,'pәutnt
crematorium,noun: 火葬场,,kremә'tɔ:riәm
lantern,noun: 灯笼，花灯，彩灯，提灯，元宵，灯，侠，盏灯，盏,'læntәn
cruel,adj: 残酷，残忍，狠心，残暴，冷酷，无情，凶残,'kru:әl
onerous,adj: 繁重，严苛，繁琐，繁复，繁杂，有偿,'ɒnәrәs
vocational,adj: 职，职业，职高，职教，职业教育,vәu'keiʃәnl
indignation,noun: 愤慨，义愤，愤怒，愤恨，悲愤，义愤填膺，愤，气愤，怒气,.indig'neiʃәn
dude,noun: 老兄，伙计，哥们，花花公子，都德，兄弟，家伙，哥们儿，夥，小子,dju:d
dare,verb: 敢，敢不敢，不敢，竟敢，胆敢，敢于，胆量，大胆,dєә
verge,noun: 边缘，濒临，濒于,vә:dʒ
batter,noun: 面糊，击球手，连击，糊 verb: 猛击，重创,'bætә
grin,noun: 梯度折射率，笑容，眉开眼笑，咧嘴笑，咧嘴 verb: 逆来顺受,grin
upbeat,adj: 乐观，乐观向上，持乐观态度，欢快，积极向上，令人鼓舞,'ʌpbi:t
entourage,noun: 随行人员，随从，陪同,,ɔntu'rɑ:ʒ
emollient,adj: 有力,i'mɒliәnt
rhetoric,noun: 修辞，修辞学，花言巧语，言辞，言论，说辞，辞令，豪言壮语，夸夸其谈，论调，措辞,'retәrik
tempo,noun: 节奏，节拍，天宝，拍子,'tempәu
preliminary,adj: 初步，初报，前期，初探，预备，初，预,pri'liminәri
countermeasure,noun: 对策，对抗，应对策略,'kauntә.meʒә
feign,adj: 装,fein
deafness,noun: 性失聪，耳聋，性耳聋，失聪，聋,'defnis
interrogate,verb: 审问，审讯，讯问，拷问，质问,in'terәgeit
ruse,noun: 诡计，计策，计谋，幌子，骗局,ru:z
curb,verb: 遏制，抑制，遏止，遏抑，制止 noun: 路边,kә:b
nag,noun: 纳格，唠叨，唠唠叨叨 verb: 叮嘱,næg
intense,adj: 激烈，强烈，紧张，剧烈，强，浓郁，密集,in'tens
beleaguered,adj: 深陷困境，四面楚歌，陷入困境，围困，受困,bɪ'liɡɚd
famine,noun: 饥荒，灾荒，饥馑，闹饥荒，饥饿，荒,'fæmin
crunch,noun: 紧缩，危机，危机爆发，紧缺,krʌntʃ
discretion,noun: 自由裁量权，酌情权，酌情决定，酌情决定权，判断力，谨慎，酌情，慎重，高低,dis'kreʃәn
redeem,verb: 赎回，救赎，赎，兑换，挽回，解救,ri'di:m
hereinafter,noun: 以下，下文,.hiәrin'ɑ:ftә
despair,noun: 绝望，失望，灰心,di'spєә
incursion,noun: 入侵,in'kә:ʃәn
shore,noun: 岸边，岸上，岸，海岸，彼岸，上岸，海滨，海边，海滩,ʃɒ:
quarrel,noun: 争吵，口角，吵，吵嘴，争执，纷争 verb: 吵架,'kwɒrәl
relentlessly,adv: 毫不留情地，无情，坚持不懈,
cast,verb: 投，施放，投射，赶 noun: 铸，铸造，强制转换，铸态，演员,
moral,adj: 道德，道义，德育，品德，伦理，德，精神 noun: 寓意,'mɒrәl
instil,verb: 灌输,in'stil
cynicism,noun: 玩世不恭，冷嘲热讽，愤世嫉俗，挖苦，讥讽，嘲讽,'sinisizm
ticklish,adj: 怕痒 noun: 难对付,'tikliʃ
savagery,noun: 野性，野蛮,'sævidʒәri
oblige,verb: 迫使，效劳,ә'blaidʒ
profiteering,verb: 牟取暴利，暴利，牟利,
wicked,adj: 邪恶，恶人，缺德，恶毒，恶，坏人,'wikid
virtuous,adj: 良性，品德高尚，善良，高尚，正直 noun: 贤淑，贤惠，贞洁，德，美德,'vә:tʃuәs
jangling,verb: 争吵,
setback,noun: 挫折，受挫，倒退，遭遇挫折，挫败，退步,'setbæk
suspend,verb: 暂停，中止，暂时吊销，暂缓 noun: 悬浮,sә'spend
scrap,noun: 废料，报废，废钢，废，废旧，碎料，废品，废弃 verb: 废除,skræp
foothold,noun: 立足点，立足，立足之地，落脚点，站稳脚跟，据点,'futhәuld
vessel,noun: 船只，容器，血管，船，船舶，器皿，艘船，导管，艘，舰船,'vesl
liaison,noun: 联络，联络员,li:'eizɒn
kidney,noun: 肾，肾脏，补肾，肾功能，肾病,'kidni
flock,noun: 羊群，涌，群，成群结队，放羊，一群，涌入，成群,flɒk
sprawl,noun: 蔓延，扩张,sprɒ:l
mausoleum,noun: 陵墓，陵，陵寝，陵园,.mɒ:sә'liәn
incense,noun: 香，熏香，香火，薰香，焚香，烧香，香烛，香炉,'inseins
embolden,verb: 助长,im'bәuldn
rubble,noun: 瓦砾，废墟，瓦砾堆，碎石，抛石，一片废墟，砌石，夷为平地,'rʌbl
household,noun: 家用，家庭，家居，住户，分户，户，日用，居民，家族,'haushәuld
circumvent,verb: 规避，绕过，绕开，绕行,.sә:kәm'vent
treasury,noun: 财政部，库务，国库，美国财政部，库务署，期美国国债，国债，库房，财政，财长,'treʒәri
turmoil,noun: 动荡，风暴，动乱，混乱，骚乱，骚动，风波，震荡,'tә:mɒil
numb,adj: 麻木，发麻，麻痹，麻，麻木不仁，失去知觉 verb: 麻醉,nʌm
compel,verb: 迫使，强迫，逼，迫,kәm'pel
homicide,noun: 凶杀案，宗凶杀案，凶杀，杀人，杀人案，他杀，杀人罪，谋杀案，谋杀，凶案，杀人犯,'hɒmisaid
parole,noun: 假释，保释，言语,pә'rәul
toss,verb: 折腾，扔，掷，抛，扔掉，投掷，拌,tɒs
barrel,noun: 桶，每桶，枪管，至每桶，筒，木桶，炮筒，筒体，滚，水桶,'bærәl
ruin,verb: 毁掉，毁，破坏，断送，毁坏，摧毁 noun: 废墟，毁灭，破产,ruin
splendid,adj: 灿烂，辉煌，锦绣，精彩，壮丽，华丽，出色，壮观,'spendid
cinnamon,noun: 肉桂，桂皮，桂香，褐，黄褐色，桂,'sinәmәn
incorporeal,adj: 无形,.inkɒ:'pɒ:riәl
spare,adj: 备用，业余，空余，空闲，课余，闲暇，多余，备件，空 verb: 饶，抽出,spєә
renovation,noun: 改造，翻新，装修，整治，整修，革新，更新，改建,.renәu'veiʃәn
drain,noun: 排水，流失，排水管，排水沟，漏，下水道，排泄，吸取，消耗，排放 verb: 排,drein
confound,verb: 混淆,kәn'faund
jumble,noun: 混杂，混乱，杂乱,dʒʌmbl
horoscope,noun: 占星，星象，星座，八字，占星术,'hɔrәskәup
entice,verb: 引诱，诱使，吸引，诱惑，诱骗，怂恿,in'tais
jade,noun: 玉，玉石，玉器，翡翠，玉璇，玉琪，玉欢，玉雕，碧玉,dʒeid
edible,adj: 食用，可食性，食，地沟,'edibl
spout,noun: 壶嘴，喷，喷口，喷嘴,spaut
squeak,noun: 吱吱声，吱，吱吱,skwi:k
ledge,noun: 窗台,ledʒ
undermine,verb: 削弱，破坏，暗中破坏，损害，诋毁，有损，动摇,.ʌndә'main
momentum,noun: 动量，势头，气势，动力，冲劲，冲力，增长势头，动能，态势,mәu'mentәm
concatenation,noun: 串联，串连，拼接，级联,.kɒnkæti'neiʃәn
cognitive,adj: 认知，感知,'kɒgnitiv
proactive,adj: 积极主动，主动，积极，前瞻性，主动性，预见性 noun: 积极进取,,prәu'æktiv
bland,adj: 平淡无奇，平淡，乏味，平淡无味，布兰德，清淡，淡而无味，淡，枯燥乏味，和蔼,blænd
excessive,adj: 过度，过多，过量，过分，过高，超标，过剩,ik'sesiv
collocation,noun: 搭配，配置,kɒlә'keiʃәn
liability,noun: 责任，负债，赔偿责任，归责，债务，义务,laiә'biliti
uneven,adj: 参差不齐，不平，凹凸不平，非均匀,.ʌn'i:vәn
glide,noun: 滑行，滑翔，滑动，滑移,glaid
intuition,noun: 直觉，直观，凭直觉,.intju:'iʃәn
subterfuge,noun: 托词，托辞，诡计，花招,'sʌbtәfju:dʒ
fugitive,noun: 逃犯，逃亡者，亡命徒，在逃犯，通缉犯，亡命之徒，逃兵 adj: 逃亡，在逃,'fju:dʒitiv
miscreant,noun: 恶棍,'miskriәnt
expatriate,adj: 外籍 noun: 侨民，外籍人士,eks'peitrieit
leniency,noun: 宽大，宽恕,'li:njәnsi
prod,verb: 督促，戳，刺激,prɒd
murmur,noun: 杂音，潺潺，凄然，怨言，低语,'mә:mә
discontent,noun: 不满，不满情绪，牢骚,.diskәn'tent
distrust,noun: 互不信任，猜忌，猜疑，怀疑,dis'trʌst
ensnare,verb: 诱捕，陷害,in'snєә
resonate,verb: 产生共鸣，共鸣，引起共鸣，共振,'rezәneit
merit,noun: 优点，功德，功绩，可取之处，值得，优异，功,'merit
tacitly,adv: 默许，默认,'tæsɪtlɪ
substantially,adv: 大幅，实质上，大幅度，大大，大致，大体上，基本上，本质上,sәb'stænʃәli
spoof,noun: 恶搞,spu:f
irritate,verb: 激怒，刺激,'iriteit
allegation,noun: 指控,.æli'geiʃәn
jurisdiction,noun: 管辖权，司法管辖权，管辖，审判权，管辖范围，司法权，司法管辖区，辖，权限，辖区，司法,.dʒuәris'dikʃәn
cautious,adj: 谨慎，持谨慎态度，小心谨慎，谨小慎微，审慎，小心，小心翼翼，慎重，慎,'kɒ:ʃәs
dissident,adj: 不同政见，持不同政见者，异议人士 noun: 异己,'disidәnt
analogy,noun: 类比，比喻，类推，类比法，比拟，比方,ә'nælәdʒi
scramble,noun: 争夺，争夺战，攀爬 verb: 争相，争抢,'skræmbl
shatter,verb: 粉碎，打碎，碎裂,'ʃætә
tranquil,adj: 宁静，恬淡，平静，安宁，静谧 noun: 安谧，恬静,'træŋkwil
slide,noun: 幻灯片，滑，滑动，张幻灯片，滑梯，幻灯，下滑，滑行，滑坡，滑块，滑板,slaid
consult,verb: 咨询，征询，请教，查阅，商量，协商，谘询，参考，磋商,kәn'sʌlt
workable,adj: 可行，切实可行,'wә:kәbl
artwork,noun: 艺术品，艺术作品，美术作品，作品，插图,'ɑ:twә:k
reimburse,verb: 偿还，报销，偿付,.ri:im'bә:s
repel,verb: 击退，排斥，打退，相斥，抵制，驱赶，吓跑,ri'pel
replenish,verb: 补充，充实，添置,ri'pleniʃ
consolidation,noun: 固结，巩固，整合，盘整，加固，整理，合并，整顿,kәn.sɒli'deiʃәn
acquisition,noun: 习得，收购，采集，习得中，获取，并购，捕获，采访，采购,.ækwi'ziʃәn
partially,adv: 部分，局部，部份,'pɑ:ʃәli
incumbent,adj: 现任，义不容辞，在位，当权，执政党,in'kʌmbәnt
munitions,noun: 军需品，军火，弹药，军需，军品，军工,
deter,verb: 阻吓，震慑，阻止，遏止，威慑，制止，遏制,di'tә:
conventional,adj: 常规，传统，普通，常用,kәn'venʃәnl
churn,noun: 流失，搅拌器,tʃә:n
vulnerable,adj: 脆弱，弱势，易受伤害，易受攻击，容易受到伤害，不堪一击，易损，易，容易,'vʌlnәrәbl
offshore,adj: 离岸，近海，海上，海洋，境外，海外，远洋，近岸，海底,ɒ:f'ʃɒ:
contingent,noun: 队伍，特遣队，然 adj: 权变,kәn'tindʒәnt
strait,noun: 海峡，两岸，海峡两岸，台海，峡，台湾海峡,streit
applaud,verb: 鼓掌，赞赏，拍手叫好，赞扬，表示赞赏，喝彩,ә'plɒ:d
paddles?,noun: 桨，划桨，短桨，明轮翼 verb: 桨，划，抚弄,
purse,noun: 钱包，皮包，包，手提包，荷包，提包，腰包，手袋，皮夹,pә:s
prom,noun: 舞会，毕业舞会，舞伴,prɔm
confine,verb: 局限，限制，限于，局限于,kәn'fain
neat,adj: 整洁，整齐，齐，干净，简洁，巧妙，优雅,ni:t
morally,adv: 道德，道义，品德,'mɒrәli
stagger,verb: 错开，东倒西歪 noun: 参差，趔趄，交错,'stægә
paltry,adj: 微不足道，区区，微薄，琐碎,'pɒ:ltri
complication,noun: 并发症，复杂化，合并症，复杂性,.kɒmpli'keiʃәn
impose,verb: 施加，强加，征收，处以，判处，施,im'pәuz
shrink,verb: 收缩，缩水，缩小，缩，萎缩，缩减，退缩 noun: 心理医生，精神病医生,ʃriŋk
prudence,noun: 谨慎，审慎，普鲁登斯，普瑞德丝，布吕丹丝，普瑞德，普鲁登丝，慎重，节俭,'pru:dns
inference,noun: 推理，推断，推论，推导，推定，论断,'infәrәns
soak,verb: 浸泡，泡，浸湿，浸 noun: 浸透，吞吐，浸润，浸渍,sәuk
congestion,noun: 拥塞，挤塞，挤塞情况，拥堵，充血，拥挤，阻塞，淤血，堵塞，瘀血,kәn'dʒestʃәn
scrub,noun: 擦洗，灌丛，磨砂，刷洗，灌木丛 verb: 擦,skrʌb
stamina,noun: 耐力，后劲，体力，毅力，体能，精力,'stæminә
hummingbird,noun: 蜂鸟,'hʌmiŋb\\:d
chirp,noun: 啁啾，线性调频，鸣声，唧唧，调频,tʃә:p
suet,noun: 板油,'su:it
cornmeal,adj: 玉米面 noun: 麦片,'kɒ:nmi:l
chili,noun: 辣椒，池莉，辣，辣酱，辣味，椒，智利,'tʃili
nectar,noun: 花蜜，甘露，果茶 adj: 蜜源，蜜,'nektә
recreation,noun: 娱乐，游憩，康乐，休闲，休闲娱乐，消遣，文康广播，游乐，再造,.rekri'eiʃәn
frugal,adj: 节俭，俭朴，俭省，节约，过得去，节约型，简朴,'fru:gәl
skim,noun: 脱脂，略读 verb: 撇,skim
precedent,noun: 先例，先河，判例，前例,'presidәnt
justifiably,adv: 名正言顺，理由,dʒʌstɪ'faɪəblɪ
novice,noun: 新手，初学者，初学，菜鸟,'nɒvis
flowerbed,noun: 花坛,'flajәbed
compost,noun: 堆肥，肥料,'kɒmpәust
compromise,noun: 妥协，折衷，折中，折衷方案，达成妥协，让步，和解 verb: 危及,'kɒmprәmaiz
asparagus,noun: 芦笋，龙须菜，文竹，莴笋，笋,ә'spærәgәs
punctuation,noun: 标点，标点符号，断句,.pʌŋktʃu'eiʃәn
patron,noun: 靠山，守护神，赞助，主顾，保护人,'peitrәn
overhaul,noun: 大修，检修，翻修，革新 verb: 整顿,.әuvә'hɒ:l
exhortation,noun: 劝勉，告诫，劝告,.egzɒ:'teiʃәn
monolithic,adj: 铁板一块，整体，单片机,.mɒnәu'liθik
confrontation,noun: 对峙，对抗，交锋，对质，对立，冲突，对决，对抗性,.kɔnfrʌn'teiʃәn
malign,adj: 恶性,mә'lain
petulant,adj: 暴躁，易怒,'petʃәlәnt
parody,noun: 仿拟，蠢事，打油诗，模仿，拙劣,'pærәdi
legitimate,adj: 合法，正当，正版，合理，合法性，正统，合情合理,li'dʒitimәt
immerse,verb: 沉浸，浸入，浸没，浸泡，沉醉,i'mә:s
archipelago,noun: 群岛，列岛,.ɑ:ki'pelәgәu
paradise,noun: 天堂，乐园，乐土，人间天堂，仙境，世外桃源，伊甸园，极乐世界，天堂般，天国，仙,'pærәdais
hail,noun: 冰雹，万岁，雹，欢呼，万福，致敬，招呼,heil
accolade,noun: 荣誉,.ækәu'leid
resound,noun: 回荡,ri'zaund
junket,noun: 酪,
bilateral,adj: 双边，双侧，两国，双方，双向，两侧,bai'lætәrәl
spur,noun: 鞭策，距，圆柱 verb: 刺激，带动,spә:
dismiss,verb: 解雇，驳回，辞退，解散，开除,dis'mis
spearhead,noun: 矛头,'spiәhed
sentimental,adj: 感伤，多愁善感，多情，伤感，感性，感情用事，矫情，青涩，感情，情感,.senti'mentl
prompt,adj: 提示，提示符，提示符下，及时，迅速 verb: 促使,prɒmpt
insinuate,verb: 影射,in'sinjueit
pointless,adj: 毫无意义，无谓，不得要领,'pɒintlis
proposition,noun: 命题，主张，提议，论题，构想,.prɒpә'ziʃәn
laid-back,adj: 懒散的，忧,
gist,noun: 要点，依据，要领，主旨，要义，大意，梗概，理论依据,dʒist
warden,noun: 监狱长，典狱长，狱长，典狱官，舍监，守望者，区长，华顿，看守，瓦,'wɒ:dn
deteriorate,verb: 恶化，变质，退化,di'tiәriәreit
elapse,noun: 推移 verb: 经过,i'læps
entrench,verb: 巩固,in'trentʃ
anomaly,noun: 异常，反常现象，反常 adv: 距平，畸形,ә'nɒmәli
trench,noun: 战壕，沟槽，海沟，地沟，壕沟，沟，战壕里，沟渠，槽，凹槽,trentʃ
retaliation,noun: 报复，打击报复，反击，复仇,ri.tæli'eiʃәn
domino,noun: 多米诺，骨牌，多米诺骨牌，多明诺,'dɒminәu
provoke,verb: 挑起，惹，招惹，激怒，挑衅，激起,prә'vәuk
brace,noun: 括号，支撑，梅开二度，支架，护具，撑，箍 verb: 撑住，振奋,breis
scapegoat,noun: 替罪羊，代罪羔羊，罪羔羊,'skeipgәut
forge,verb: 伪造，打造，结成 noun: 锻造，锻,fɒ:dʒ
tussle,noun: 厮打，角力，争斗,'tʌsl
outlier,noun: 异常,'autlaiә
debrief,noun: 汇报，简报,di:'bri:f
belie,verb: 掩盖,bi'lai
bumpy,adj: 颠簸，坎坷，崎岖不平，坑坑洼洼，邦比，崎岖，不平，平坦 noun: 跛，跛脚,'bʌmpi
peril,noun: 危险，危亡，祸，后果自负，危险之中，岌岌可危，险境,'peril
containment,noun: 遏制，围堵，包容,kәn'teinmәnt
encirclement,noun: 围剿，包围,in'sә:klmәnt
escalate,verb: 升级，逐步升级，降级 noun: 呈报,'eskәleit
snippet,noun: 代码片段，片断，片段,'snipit
metaphor,noun: 隐喻，比喻，暗喻，喻,'metәfә
lurk,verb: 潜伏 noun: 潜藏,lә:k
boulder,noun: 博尔德，巨石，顽石，卵石，砂砾,'bәuldә
fishbones,noun: 鲠,
blade,noun: 叶片，刀片，刀锋，刀刃，刃，桨叶，刀，刮刀，片，叶，剑,bleid
explicit,adj: 显式，明确，显性，露骨，显，明晰，清晰,ik'splisit
legislature,noun: 立法机关，立法会，立法，议会，立,'ledʒisleitʃә
feisty,adj: 争强好胜，易怒，活跃,'faisti
derail,verb: 脱轨，出轨，断送，破坏,di'reil
guardrail,noun: 护栏,'^ɑ:dreil
contentious,adj: 争议，具争议性，争讼，辩驳，富争议，讼，备受争议,kәn'tenʃәs
disquiet,noun: 不安,dis'kwaiәt
narrow,adj: 窄，狭窄，狭隘，狭小，狭义，狭长，窄窄，狭，窄带 verb: 缩小,'nærәu
profound,adj: 深刻，深远，深厚，博大精深，渊博，深邃，意义深远，深奥，深层次，深入，深层,prә'faund
delegate,noun: 委托，委派 verb: 转授，托付,'deligeit
entrepreneur,noun: 企业家，创业者,.ɒntrәprә'nә:
heap,noun: 堆，堆积，堆栈,hi:p
praise,noun: 赞美，好评，赞誉，赞扬，表扬，称赞，一致好评，夸奖，歌颂，赞许，赞赏,preiz
solace,noun: 慰藉，安慰，慰籍,'sɒlis
intrigue,noun: 阴谋诡计，阴谋，勾心斗角,in'tri:g
draconian,adj: 严厉，恶，严苛，严酷，苛刻,drә'kәjniәn
reckon,verb: 估计,'rekәn
squabble,noun: 争吵,'skwɒbl
traitor,noun: 叛徒，卖国贼，叛逆者，叛国者，汉奸，内奸，叛国，背叛,'treitә
revisionist,noun: 修正主义,ri'viʒәnist
homophone,noun: 同音词,
permeate,verb: 渗透，渗入,'pә:mieit
denounce,verb: 谴责，公开谴责，揭发，告发,di'nauns
worship,noun: 崇拜，敬拜，拜，祭拜，膜拜，朝拜，礼拜，祭祀，供奉，敬,'wә:ʃip
pander,verb: 迎合,'pændә
admiration,noun: 钦佩，敬佩，倾慕，敬仰，赞赏，仰慕，赞美，佩服，崇拜，羡慕,.ædmә'reiʃәn
undercurrent,noun: 暗流，潜流,'ʌndә.kʌrәnt
nurture,verb: 培育，培养，滋养，养育，孕育，后天 noun: 熏陶,'nә:tʃә
emerge,verb: 出现，浮现，涌现，显现，崛起,i'mә:dʒ
plenary,adj: 全体 noun: 全会,'plenәri
compatriot,noun: 同胞,kәm'pætriәt
unify,verb: 统一，一统 noun: 相结合,'ju:nifai
exaggerate,verb: 夸大，夸大其词，夸张，过分夸大，渲染,ig'zædʒәreit
antique,adj: 古董，仿古，古玩，古色古香，古典，古,æn'ti:k
discreet,adj: 谨慎，低调 noun: 慎重，显眼,dis'kri:t
avid,adj: 狂热，热心，热衷于，忠实，酷爱,'ævid
memoir,noun: 回忆录，自传，实录,'memwɑ:
aggrieved,adj: 受屈，愤愤不平，受害 verb: 委屈,ә'gri:vd
tersely,adv: 简洁地,tɜ:slɪ
dismissive,adj: 不屑一顾，看不惯，轻蔑，轻视,dis'misiv
guileful,adj: 诡计多端的,
dent,noun: 凹痕，丹特，登特，凹陷，登，凹，特约 verb: 削弱,dent
induce,verb: 诱导，诱发，诱使，促使，归纳,in'dju:s
reckless,adj: 鲁莽，不计后果，卤莽，轻率，莽撞，不顾一切，肆无忌惮，草率,'reklis
stimulus,noun: 刺激，刺激举措，刺激性,'stimjulәs
avert,verb: 避免，消弭,ә'vә:t
parliament,noun: 议会，国会，议会大厦，国会大厦，国会议员,'pɑ:lәmәnt
theological,adj: 神学，流变,θiә'lɔdʒikәl
boilerplate,noun: 样板,'bɔilәpleit
drainage,noun: 排水，引流，渠务，引流术，排涝，排，排放，流域，滤,'dreinidʒ
nostalgia,noun: 怀旧，乡愁，留恋，怀恋，乡情，恋旧，怀念,nɒs'tældʒiә
stash,noun: 藏匿，藏,stæʃ
aide,noun: 助手，副官，助理，副手,eid
courtship,noun: 求爱，求偶,'kɒ:tʃip
bailout,noun: 救助，救市，紧急救助，纾困，救援，援助，脱困，紧急救援，援救,'beilaut
reassure,verb: 安抚，打消，安慰,.ri:ә'ʃuә
signboard,noun: 招牌，广告牌,'sainbɒ:d
quirk,noun: 怪癖,kwә:k
bureaucratic,adj: 官僚，官僚主义，官场，官僚作风，官僚制，文官，官僚机构，繁文缛节,bjuәrәu'krætik
wield,verb: 挥动，挥舞，施展，执掌，挥，运用,wi:ld
opaque,adj: 透明 noun: 晦涩，浊,әu'peik
repudiate,verb: 否定,ri'pju:dieit
vanguard,noun: 先锋，先锋队，尖兵，排头兵，前卫，前锋，前行，先驱，前列，先导,'vængɑ:d
martyr,noun: 烈士，殉道者，殉教，殉道,'mɑ:tә
homage,noun: 敬意，参拜，致敬，顶礼膜拜，表示敬意，效忠,'hɒmidʒ
cadre,noun: 干部，领导干部，骨干,'kædri.'kɑ:dә
heresy,noun: 异端，异端邪说，异教，邪教，异教徒,'herәsi
boastful,adj: 自夸，自吹自擂，自负 noun: 自吹,'bәustful
versatile,adj: 多才多艺，多功能，多面手，通用，灵活，全能，万能，通用性，多样 noun: 丁字,'vә:sәtail
invariably,adv: 不约而同地，总是，总能,in'vєәriәbli
endeavor,noun: 奋进，努力，奋斗,in'devә
etiquette,noun: 礼仪，礼节，礼俗,eti'ket
seemingly,adv: 看似，貌似，似乎，看上去,'si:miŋli
limelight,noun: 风头，聚光灯下，出风头，聚光灯,'laimlait
muse,noun: 缪斯，创作灵感，女神，灵感,mju:z
paramount,noun: 至高无上，至关重要，至上，重要,'pærәmaunt
whip,noun: 鞭子，鞭，鞭子抽，皮鞭，马鞭，拉杆 verb: 鞭打，鞭笞，掀起,hwip
feud,noun: 仇隙，世仇，宿怨，不和,fju:d
rancorous,adj: 怀恶意的,
upheaval,noun: 剧变，动荡，动乱，巨变，隆起，动荡不安,ʌp'hi:vl
stringent,adj: 严格，严谨，严厉，严苛，严密，苛刻,'strindʒәnt
emulate,verb: 效仿，仿效，模仿，效法，赶超,'emjuleit
neglect,noun: 忽视，疏忽，疏忽照顾，疏于，轻视，漠视，无视 verb: 忽略，怠慢，荒废,ni'glekt
chamber,noun: 室，会议厅，硐室，商会，腔室，腔，房间，舱，室内，箱,'tʃeimbә
steer,verb: 引导，掌舵，带领，督导,stiә
maladroit,noun: 笨拙,.mælә'drɒit
emanates,verb: 发出，放射,
scold,verb: 骂，责骂，训斥，责备，斥责，责怪,skәuld
shiver,noun: 哆嗦，颤抖，寒战，打颤，瑟瑟发抖 verb: 发抖，瑟缩，颤栗,'ʃivә
divine,adj: 神圣，神，神灵，圣洁，非凡 noun: 神州，圣,di'vain
hew,verb: 开采,hju:
clout,noun: 影响力，底气，势力,klaut
pump,noun: 泵，水泵，油泵，泵浦，体外循环，抽,pʌmp
concession,noun: 让步，租界，特许权，宽减，项宽减，特许，优惠，退让，宽免，特许经营，妥协,kәn'seʃәn
subordinate,adj: 下属，从属，下级，部属，隶属，主从，附属，服从，次要 noun: 属下，部下,sә'bɒ:dnit
solicit,verb: 征求，招揽，征询，听取,sә'lisit
flaunt,verb: 炫耀，标榜,flaunt
onslaught,noun: 猛攻，猛烈攻击，冲击,'ɒnslɒ:t
falter,verb: 动摇，踌躇不前，结巴，不振，步履蹒跚，畏缩,'fɒ:ltә
revive,verb: 重振，振兴，复苏，恢复，复活，复兴，救活，苏醒,ri'vaiv
unanimity,noun: 协商一致，一致，一致同意,.ju:nә'nimiti
chassis,noun: 底盘，机箱，底架，车架，底座，底板,'ʃæsi
outflank,verb: 包抄，包围,.aut'flæŋk
pang,noun: 庞，彭，彭日成，逄村，剧痛，旁，乓，苦痛，鹏，痛楚,pæŋ
conscience,noun: 良心，良知，良心不安,'kɒnʃәns
appeal,noun: 上诉，吸引力，呼吁，感染力，申诉，诉求，情趣，魅力 verb: 提出上诉，吸引,ә'pi:l
condemn,verb: 谴责，声讨，不定,kәn'dem
patriarch,noun: 族长，元老，宗法，主教,'peitriɑ:k
subsequent,adj: 后续，随后，其后，后继，后来，以后，接下来，后面，日后,'sʌbsikwәnt
trial,noun: 审判，审讯，试验，试用，庭审，审理，审，试，尝试，考验,'traiәl
retrial,noun: 再审，重审，复试,ri:'traiәl
exoneration,noun: 豁免,
affidavit,noun: 誓章，口供，证词,.æfi'deivit
concoct,verb: 编造,kәn'kɒkt
collude,verb: 串通，勾，通同，同伙,kә'lu:d
flank,noun: 侧翼，侧面，旁边，边路,flæŋk
ferocious,adj: 凶猛，凶恶，狰狞，凶残，勇猛，凶狠，凶，猛烈，残忍，残暴,fә'rәuʃәs
devise,verb: 想出，设计,di'vaiz
fright,noun: 惊吓，惊悸，恐惧，怯场，惊骇，受惊吓，惊恐,frait
tumble,noun: 暴跌，跤，滚筒，跌倒，烘干 verb: 翻滚，下跌，摔倒，倒下,tʌmbl
brink,noun: 边缘，悬崖边缘，濒临，濒于，绝路，边沿,briŋk
largesse,noun: 慷慨解囊，慷慨,lɑ:'dʒes
collateral,noun: 抵押品，担保品，抵押，附带，络，担保，侧枝，间接,kә'lætәrәl
exemption,noun: 豁免，免责，免检，免税，免除，免征，免，获豁免，豁免权,ig'zempʃәn
regime,noun: 政权，政体，制度，体制，机制，当局,rei'ʒi:m
disparity,noun: 差距，视差，悬殊，差异，差别,dis'pæriti
vast,adj: 广阔，辽阔，广大，广袤，浩瀚，茫茫，巨大，庞大,vɑ:st
consign,noun: 托付，交付，寄托 verb: 寄售,kәn'sain
